"Date","TP_Testing_Party","Type","Yield_in_Kilotons","Latitude_in_degrees","Longitude_in_degrees","Name_of_explosion"
"19700515","US","SS2","20-200","37.162N","116.039W","CORNICE-"
"19700515","FR","BALN","20-200","20S","140W","ANDROME"
"19700521","US","SHFT","l20","37.029N","115.992W","MANZANAS"
"19700521","US","SHFT","20-200","37.071N","116.013W","MORRONES"
"19700522","FR","BALN","20-200","20S","140W","CASSIOPE"
"19700523","CP","UNDG","1","48.100N","047.800E",""
"19700524","CP","UNDG","2","48.100N","047.800E",""
"19700526","FL","RED","","","152 NTS0",""
"19700526","US","SS1","l20","","","FLASK-RE"
"19700526","FL","YELLO","","","335 NTS0",""
"19700526","US","SS2","l20","","","FLASK-YE"
"19700526","FL","GREEN","","","529 NTS0",""
"19700526","US","SS3","105","","","FLASK-GR"
"19700526","US","TUNN","l20","37.183N","116.213W","HUDSONMO"
"19700526","US","SHFT","105","37.113N","116.062W","FLASK"
"19700527","CP","UNDG","2","48.300N","078.200E",""
"19700528","US","SHFT","l20","","","PITON A"
"19700528","US","SHFT","l20","","","PITON"
"19700528","PI","B","","","230 NTS0",""
"19700528","US","SS1","l20","","","PITON-B"
"19700528","PI","A","","","236 NTS0",""
"19700528","US","SS2","l20","","","PITON-A"
"19700528","US","","","37.2N","116.0W","**"
"19700529","CP","UNDG","1","48.100N","047.800E",""
"19700530","FR","BALN","g1000","22.16S","138.84W","DRAGON"
"19700624","FR","BALN","LOW","20S","140W","ERIDAN"
"19700625","CP","UNDG","8.4","52.200N","055.700E",""
"19700626","AR","-VIOL","","","264 NTS0",""
"19700626","US","SS1","l20","","","ARNICA-V"
"19700626","AR","-YELL","","","309 NTS0",""
"19700626","US","SS2","l20","","","ARNICA-Y"
"19700626","US","SHFT","20-200","37.114N","116.086W","ARNICA"
"19700628","CP","UNDG","30","49.830N","078.220E",""
"19700703","FR","BALN","1000","21.800S","139.200W","LICORNE"
"19700721","CP","UNDG","14","49.953N","077.701E",""
"19700724","CP","UNDG","11","49.820N","078.180E",""
"19700727","FR","BALN","LOW","20S","140W","PEGASE"
"19700802","FR","BALN","20-200","20S","140W","ORION"
"19700806","FR","BALN","20-200","20S","140W","TOUCAN"
"19700906","CP","UNDG","14","49.780N","078.046E",""
"19701013","US","SHFT","l20","","","SCREE"
"19701013","SC","ALHAM","","","101 NTS0",""
"19701013","US","SS1","l20","","","SCREE-AL"
"19701013","SC","CHAMO","","","192 NTS0",""
"19701013","US","SS2","l20","","","SCREE-CH"
"19701013","SC","ACAJO","","","249 NTS0",""
"19701013","US","SS3","l20","","","SCREE-AC"
"19701013","US","SH?","","37.18N","115.95W","**"
"19701014","CP","UNDG","1001","73.310N","054.890E",""
"19701014","PC","AIRD","3000","","",""
"19701014","US","SHFT","20-200","37.071N","116.005W","TIJERAS"
"19701028","US","SHFT","l20","","","TRUCHAS"
"19701028","TR","S-CHA","","","118 NTS0",""
"19701028","US","SS1","l20","","","TRUCHAS-"
"19701028","TR","S-CHA","","","119 NTS0",""
"19701028","US","SS2","l20","","","TRUCHAS-"
"19701028","TR","S-ROD","","","266 NTS0",""
"19701028","US","SS3","l20","","","TRUCHAS-"
"19701104","CP","UNDG","14","50.007N","077.798E",""
"19701105","US","SHFT","20-200","37.029N","116.012W","ABEYTAS"
"19701119","US","SHFT","l20","","","PENASCO"
"19701203","CO","N","","","241 NTS0",""
"19701203","US","SS1","l20","","","CORAZON"
"19701203","CA","OZO","","","279 NTS0",""
"19701203","US","SS2","l20","","","CARRIZOZ"
"19701212","CP","UNDG","113","43.870N","054.780E",""
"19701216","US","SHFT","l20","","","CANJILON"
"19701216","US","SHFT","20-200","37.100N","116.008W","ARTESIA"
"19701216","AV","CREAM","","","293 NTS0",""
"19701216","US","SS1","l20","37.143N","116.034W","AVENS-CR"
"19701216","AV","ASAML","","","306 NTS0",""
"19701216","US","SS2","l20","37.143N","116.034W","AVENS-AS"
"19701216","AV","ANDOR","","","311 NTS0",""
"19701216","US","SS3","l20","37.143N","116.034W","AVENS-AN"
"19701216","AV","ALKER","","","380 NTS0",""
"19701216","US","SS4","l20","37.143N","116.034W","AVENS-AL"
"19701217","US","SHFT","220","37.129N","116.083W","CARPETBA"
"19701217","CP","UNDG","14","49.730N","078.170E",""
"19701218","US","SHFT","10","37.173N","116.099W","BANEBERR"
"19701223","CP","UNDG","113","43.810N","054.820E",""
"19710322","CP","UNDG","30","49.791N","078.142E",""
"19710323","CP","UNDG","45","61.390N","056.220E",""
"19710425","CP","UNDG","53","49.774N","078.074E",""
"19710429","US","SHFT","20-200","37.12N","116.33W","MINETHRO"
"19710525","CP","UNDG","6.0","49.815N","078.197E",""
"19710605","FR","ATMO","15","20S","140W","DIONE"
"19710606","CP","UNDG","17","49.988N","077.720E",""
"19710612","FR","ATMO","50-500","23.8S","137.2W","ENCELADE"
"19710616","US","SHFT","l20","37.03N","116.02W","EMBUDO"
"19710619","CP","UNDG","15","49.992N","077.705E",""
"19710623","US","SHFT","l20","","","DEXTER"
"19710623","US","SHFT","20-200","37.02N","116.02W","LAGUNA"
"19710624","US","SHFT","20-200","37.15N","116.07W","HAREBELL"
"19710629","US","TUNN","l20","36.6N","115.8W","CAMPHOR"
"19710630","CP","UNDG","11","49.949N","078.986E",""
"19710701","US","TUNN","l20","37.01N","116.20W","d MINE"
"19710702","CP","UNDG","5.2","67.660N","062.000E",""
"19710704","FR","ATMO","l100","20S","140W","JAPET"
"19710708","US","SHFT","83","37.11N","116.05W","MINIATA"
"19710709","US","SHFT","l20","","","BRACKEN"
"19710710","CP","UNDG","17","64.200N","054.770E",""
"19710721","US","SHFT","l20","","","APODACA"
"19710804","US","SHFT","l20","","","BARRANCA"
"19710805","US","SHFT","l20","","","NAMA"
"19710805","NA","EPHIS","","","244 NTS0",""
"19710805","US","SS1","l20","","","NAMA-MEP"
"19710805","NA","MARYL","","","273 NTS0",""
"19710805","US","SS2","l20","","","NAMA-AMA"
"19710806","US","SHFT","l20","","","BALTIC"
"19710808","FR","ATMO","l100","20S","140W","PHOEBE"
"19710814","FR","BALN","1000","21.880S","139.000W","RHEA"
"19710818","US","SHFT","20-200","37.1N","116.0W","ALGODONE"
"19710919","CP","UNDG","3.3","57.760N","041.440E",""
"19710922","US","SHFT","l20","","","FRIJOLES"
"19710922","FR","ES-ES","","","149 NTS0",""
"19710922","US","SS1","l20","","","FRIJOLES"
"19710922","FR","ES-DE","","","150 NTS0",""
"19710922","US","SS2","l20","","","FRIJOLES"
"19710922","FR","ES-PE","","","226 NTS0",""
"19710922","US","SS3","l20","","","FRIJOLES"
"19710922","FR","ES-GU","","","257 NTS0",""
"19710922","US","SS4","l20","","","FRIJOLES"
"19710927","CP","UNDG","586","73.390N","054.910E",""
"19710929","US","SHFT","l20","37.01N","116.01W","PEDERNAL"
"19710929","US","SHFT","l20","","","CHANTILL"
"19711004","CP","UNDG","4.1","61.610N","047.220E",""
"19711008","US","SHFT","l20","37.12N","116.03W","CATHAY"
"19711009","CP","UNDG","12","49.996N","077.653E",""
"19711014","US","SHFT","l20","","","LAGOON"
"19711021","CP","UNDG","19","50.001N","077.629E",""
"19711022","CP","UNDG","17","51.610N","054.450E",""
"19711106","US","SHFT","l5000","","","CANNIKN"
"19711118","PC","ATMO","20","","",""
"19711124","US","SHFT","l20","36.7N","116.9W","DIAGONAL"
"19711129","CP","UNDG","16","49.758N","078.132E",""
"19711130","US","SHFT","l20","","","PARNASSI"
"19711214","US","SHFT","l20","","","HOSPAH"
"19711214","US","SHFT","l20","","","YERBA"
"19711214","US","SHFT","20-200","37.01N","116.06W","CHAENACT"
"19711215","CP","UNDG","4.5","50.031N","077.972E",""
"19711222","CP","UNDG","57","47.900N","048.070E",""
"19711230","CP","UNDG","36","49.772N","078.093E",""
"19720101","PC","ATMO","l20","","",""
"19720105","US","SHFT","l20","","","MESCALER"
"19720203","US","SHFT","l20","","","COWLES"
"19720210","CP","UNDG","13","50.014N","078.878E",""
"19720217","US","SHFT","l20","","","DIANTHUS"
"19720310","CP","UNDG","15","49.752N","078.142E",""
"19720318","PC","ATMO","20-200","","",""
"19720323","US","SHFT","l20","","","SAPPHO"
"19720328","CP","UNDG","8.0","49.740N","078.130E",""
"19720330","OC","","","","210 NTS0",""
"19720330","US","SS1","l20","37.0N","116.0W","OCATE"
"19720330","ON","","","","279 NTS0",""
"19720330","US","SS2","l20","37.0N","116.0W","ONAJA"
"19720411","CP","UNDG","8.4","37.360N","062.070E",""
"19720419","US","SHFT","l20","","","JICARILL"
"19720419","US","SHFT","l20","37.12N","116.08W","LONGCHAM"
"19720502","US","TUNN","l20","37.2N","116.2W","y NORTH"
"19720510","US","SH?","","37.01N","116.20W","MINEDUST"
"19720511","US","SHFT","l20","","","KARA"
"19720517","US","SHFT","l20","37.12N","116.09W","ZINNIA"
"19720519","US","SHFT","l20","37.06N","116.00W","MONERO"
"19720522","US","SH?","","37.12N","116.33W","THROW 1"
"19720523","US","SH?","","37.12N","116.33W","THROW 2"
"19720524","US","SH?","","37.12N","116.33W","THROW 3"
"19720525","US","SH?","","37.12N","116.33W","THROW 4"
"19720526","US","SH?","","37.12N","116.33W","THROW 5"
"19720607","CP","UNDG","14","49.808N","078.093E",""
"19720607","US","SHFT","l20","","","MERIDA"
"19720625","FR","ATMO","LOW","20S","140W","UMBRIEL"
"19720628","US","SHFT","l20","","","CAPITAN"
"19720628","US","SHFT","l20","","","HAPLOPAP"
"19720628","US","SHFT","l20","","","TAJIQUE"
"19720630","FR","ATMO","LOW","20S","140W","TITANIA"
"19720706","CP","UNDG","1.5","49.781N","078.093E",""
"19720709","CP","UNDG","6.6","49.780N","035.450E",""
"19720714","CP","UNDG",".10","49.990N","046.440E",""
"19720720","US","TUNN","l20","37.22N","116.18W","d SKULLS"
"19720725","US","SHFT","l20","","","ATARQUE"
"19720729","FR","ATMO","LOW","20S","140W",""
"19720809","SO","","","","134 NTS0",""
"19720809","US","SS1","l20","","","SOLANO"
"19720809","CU","LO","","","199 NTS0",""
"19720809","US","SS2","l20","","","CUCHILLO"
"19720809","CE","A","","","287 NTS0",""
"19720809","US","SS3","l20","","","CEBOLLA"
"19720816","CP","UNDG","7.8","49.770N","078.113E",""
"19720820","CP","UNDG","55","49.400N","048.060E",""
"19720826","CP","UNDG","13","49.993N","077.773E",""
"19720828","CP","UNDG","329","73.390N","054.650E",""
"19720902","CP","UNDG","4.3","49.950N","077.660E",""
"19720904","CP","UNDG","4.1","67.730N","033.090E",""
"19720921","CP","UNDG","10","52.190N","051.940E",""
"19720921","US","SHFT","20-200","37.08N","116.04W","OSCURO"
"19720926","US","SHFT","15","37.12N","116.09W","DELPHINI"
"19721003","CP","UNDG","44","46.660N","044.870E",""
"19721102","CP","UNDG","126","49.923N","078.815E",""
"19721109","US","SHFT","l20","","","AKBAR"
"19721109","US","SHFT","l20","","","ARSENATE"
"19721117","US","SHFT","l20","","","CANNA"
"19721117","CA","UMBRI","","","183 NTS0",""
"19721117","US","SS1","l20","","","CANNA-UM"
"19721117","CA","LIMOG","","","213 NTS0",""
"19721117","US","SS1","l20","","","CANNA-LI"
"19721124","CP","UNDG","3.3","52.140N","051.830E",""
"19721124","CP","UNDG","17","51.850N","064.180E",""
"19721210","CP","UNDG","23","49.837N","078.102E",""
"19721210","CP","UNDG","59","50.001N","078.973E",""
"19721212","US","SHFT","l20","","","TULOSO"
"19721214","US","SHFT","l20","","","SOLANUM"
"19721221","FL","EST","","","436 NTS0",""
"19721221","US","SS1","20-200","","","FLAX-TES"
"19721221","FL","ACKUP","","","445 NTS0",""
"19721221","US","SS1","l20","","","FLAX-BAC"
"19721228","CP","UNDG",".39","51.700N","077.200E",""
"19730214","US","SHFT","l20","","","ALUMROOT"
"19730216","CP","UNDG","17","49.822N","078.158E",""
"19730308","US","SHFT","20-200","37.10N","116.03W","MIERA"
"19730323","US","SHFT","l20","","","GAZOOK"
"19730405","US","SHFT","l20","","","NATOMA"
"19730419","CP","UNDG","12","49.995N","077.647E",""
"19730425","VE","E","","","277 NTS0",""
"19730425","US","SS1","l20","37.00N","116.03W","VELARDE"
"19730425","AN","","","","453 NTS0",""
"19730425","US","SS2","l20","37.00N","116.03W","ANGUS"
"19730426","US","SHFT","l20","","","COLMOR"
"19730426","US","SHFT","90","37.12N","116.06W","STARWORT"
"19730509","US","SHFT","l20","","","MESITA"
"19730517","RI","ANCO-","","","543 RIFL",""
"19730517","US","SS1","33","39.79N","108.37W","RIO BLAN"
"19730517","RI","ANCO-","","","579 RIFL",""
"19730517","US","SS1","33","39.79N","108.37W","RIO BLAN"
"19730517","RI","ANCO-","","","622 RIFL",""
"19730517","US","SS1","33","39.79N","108.37W","RIO BLAN"
"19730524","US","SHFT","l20","","","CABRESTO"
"19730524","US","SHFT","l20","","","KASHAN"
"19730605","US","TUNN","l20","37.18N","116.21W","DIDOQUEE"
"19730606","US","SHFT","0-1000","37.25N","116.35W","ALMENDRO"
"19730621","US","SHFT","l20","","","POTRILLO"
"19730627","PC","ATMO","0-3000","","",""
"19730628","US","SHFT","20-200","37.1N","116.09W","PORTULAC"
"19730628","US","SHFT","l20","","","SILENE"
"19730710","CP","UNDG","11","49.798N","078.087E",""
"19730721","FR","ATMO","5","20S","140W",""
"19730723","CP","UNDG","181","49.962N","078.812E",""
"19730728","FR","ATMO","LOW","20S","140W",""
"19730815","CP","UNDG","21","42.690N","067.410E",""
"19730819","FR","ATMO","5-10","20S","140W",""
"19730825","FR","ATMO","","20S","140W",""
"19730826","FR","ATMO","","20S","140W",""
"19730828","FR","AIRD","6.6","","","TAMARA"
"19730828","CP","UNDG","17","50.580N","068.400E",""
"19730912","CP","UNDG","2099","73.320N","054.970E",""
"19730919","CP","UNDG","13","45.680N","067.800E",""
"19730927","CP","UNDG","100","70.800N","053.420E",""
"19730930","CP","UNDG","17","51.660N","054.540E",""
"19731002","US","SHFT","l20","","","POLYGONU"
"19731002","US","SHFT","l20","","","WALLER"
"19731012","US","TUNN","l20","37.20N","116.20W","HUSKYACE"
"19731026","CP","UNDG","10","49.759N","078.164E",""
"19731026","CP","UNDG","6.6","53.630N","055.380E",""
"19731027","CP","UNDG","4055","70.800N","053.920E",""
"19731128","US","SHFT","l20","36.9N","116.0W","BERNAL"
"19731212","US","SHFT","l20","","","PAJARA"
"19731213","US","SHFT","l20","","","SEAFOAM"
"19731214","CP","UNDG","38","50.044N","078.987E",""
"19731219","US","SHFT","l20","","","ELIDA"
"19731219","US","SHFT","l20","","","SPAR"
"19740110","US","SHFT","l20","","","PINEDROP"
"19740110","PI","OPS-S","","","213 NTS1",""
"19740110","US","SS1","l20","","","PINEDROP"
"19740110","PI","OPS-T","","","282 NTS1",""
"19740110","YS","SS1","l20","","","PINEDROP"
"19740110","PI","OPS-B","","","343 NTS1",""
"19740110","US","SS1","l20","","","PINEDROP"
"19740130","CP","UNDG","4.5","49.837N","078.049E",""
"19740130","CP","UNDG","14","49.853N","078.087E",""
"19740227","US","SHFT","20-200","37.10N","116.05W","LATIR"
"19740314","US","SHFT","l20","","","HULSEA"
"19740412","US","SHFT","l20","","","SAPELLO"
"19740416","CP","UNDG","1.5","50.041N","078.943E",""
"19740423","US","SHFT","l20","","","PORTRERO"
"19740501","US","SHFT","l20","","","PLOMO"
"19740508","US","SHFT","l20","","","JIB"
"19740516","CP","UNDG","10","49.752N","078.093E",""
"19740518","IN","UNDG","15","26.99 N","071.80 E",""
"19740522","US","SHFT","l20","","","GROVE"
"19740523","GB","SHFT","20-200","37.1N","116.1W","FALLON"
"19740531","CP","UNDG","42","49.950N","078.852E",""
"19740606","US","SHFT","l20","","","JARA"
"19740616","FR","BALN","20","20S","140W","CAPRICOR"
"19740617","PC","ATMO","0-1000","","",""
"19740619","US","TUNN","l20","37.2N","116.2W","MINGBLAE"
"19740625","CP","UNDG","1.8","49.840N","078.166E",""
"19740707","FR","BALN","150","20S","140W","GEMEAUX"
"19740708","CP","UNDG","4.1","53.680N","055.080E",""
"19740710","CP","UNDG","8.4","49.783N","078.130E",""
"19740710","US","SHFT","20-200","37.07N","116.03W","ESCABOSA"
"19740717","FR","ATMO","","20S","140W","CENTAURE"
"19740718","CR","AKE-T","","","272 NTS0",""
"19740718","US","SS1","l20","","","CRESTLAK"
"19740718","CR","AKE-B","","","374 NTS0",""
"19740718","US","SS1","l20","","","CRESTLAK"
"19740718","US","SHFT","l20","","","CRESTTLA"
"19740726","FR","AIRD","","20S","140W",""
"19740729","FR","ATMO","HIGH","","",""
"19740814","US","SHFT","l20","37.0N","116.0W","PUYE"
"19740814","CP","UNDG","27","68.940N","075.830E",""
"19740815","FR","ATMO","","20S","140W",""
"19740825","FR","ATMO","","20S","140W",""
"19740829","CP","UNDG","497","73.410N","054.930E",""
"19740829","CP","UNDG","10","67.230N","062.140E",""
"19740830","US","SHFT","20-200","37.1N","116.1W","PORTMANT"
"19740913","CP","UNDG","8.6","49.778N","078.081E",""
"19740915","FR","ATMO","1000","20S","140W",""
"19740925","US","SHFT","l20","","","PRATT"
"19740926","US","SHFT","l20","","","TRUMBULL"
"19740926","US","SHFT","20-200","37.1N","116.1W","STANYAN"
"19741002","KR","LL","","","98",""
"19741002","CP","UNDG","1.7","66.1N","112.61E","KRISTALL"
"19741016","CP","UNDG","17","49.979N","078.898E",""
"19741017","US","SHFT","l20","","","ESTACA"
"19741028","US","TUNN","l20","","","HYBLAFAI"
"19741102","CP","UNDG","2099","70.810N","053.910E",""
"19741102","US","SHFT","l20","","","TEMESCAL"
"19741126","US","SHFT","l20","","","PUDDLE"
"19741207","CP","UNDG","1.8","49.933N","077.636E",""
"19741216","CP","UNDG","5.7","49.793N","078.133E",""
"19741216","CP","UNDG","3.6","49.867N","078.087E",""
"19741216","US","SHFT","l20","","","KEEL"
"19741227","CP","UNDG","18","49.943N","079.011E",""
"19750206","PO","A","","","198 NTS1",""
"19750206","US","SS1","l20","37.05N","116.00W","PORTOLA"
"19750206","PO","A-LAR","","","274 NTS1",""
"19750206","US","SS1","l20","37.05N","116.00W","PORTOLA-"
"19750206","US","SHFT","l20","","","TELEME"
"19750219","US","SHFT","l20","","","BILGE"
"19750220","CP","UNDG","26","49.789N","078.062E",""
"19750228","US","SHFT","20-200","37.11N","116.06W","TOPGALLA"
"19750307","US","SHFT","20-200","37.13N","116.08W","CABRILLO"
"19750311","CP","UNDG","14","49.747N","078.146E",""
"19750405","US","TUNN","l20","37.18N","116.21W","DININGCA"
"19750424","US","SHFT","20-200","37.11N","116.08W","EDAM"
"19750425","CP","UNDG","2.6","48.080N","047.200E",""
"19750427","CP","UNDG","21","49.949N","078.926E",""
"19750430","US","SHFT","20-200","37.11N","116.03W","OBAR"
"19750514","US","SHFT","0-1000","37.22N","116.47W","TYBO"
"19750603","US","SHFT","20-200","37.33N","116.52W","STILTON"
"19750603","US","SHFT","20-200","37.09N","116.03W","MIZZEN"
"19750605","FR","SHFT","20","22S","139W","ACHILLE"
"19750608","CP","UNDG","18","49.762N","078.050E",""
"19750611","US","SHFT","l20","","","ALVISO"
"19750618","US","SHFT","l20","","","FUTTOCK"
"19750619","US","SHFT","0-1000","37.35N","116.32W","MAST"
"19750626","US","SHFT","0-1000","37.27N","116.37W","CAMEMBER"
"19750630","CP","UNDG","2.4","50.004N","078.957E",""
"19750807","CP","UNDG","8.2","49.812N","078.161E",""
"19750812","GO","NT-4","","","496",""
"19750812","CP","UNDG","7.6","70.76N","127.12E","GORIZONT"
"19750823","CP","UNDG","477","73.340N","054.500E",""
"19750830","US","SH?","","37.28N","116.21W","**"
"19750906","US","SHFT","l20","37.02N","116.03W","MARSH"
"19750929","CP","UNDG","6.6","69.600N","090.460E",""
"19751005","CP","UNDG",".19","55.800N","075.100E",""
"19751018","CP","UNDG","1281","70.840N","053.530E",""
"19751021","CP","UNDG","497","73.320N","054.930E",""
"19751024","US","TUNN","l20","37.22N","116.18W","HUSKYPUP"
"19751026","PC","UNDG","l20","","",""
"19751027","PC","","l10","41.400N","088.667E",""
"19751028","US","SHFT","0-1000","37.28N","116.41W","KASSERI"
"19751029","CP","UNDG","24","49.946N","078.878E",""
"19751118","US","SHFT","l20","","","DECK"
"19751120","US","SHFT","0-1000","37.22N","116.37W","INLET"
"19751126","FR","SHFT","15","20S","140W","HECTOR"
"19751126","US","SHFT","l20","37.12N","116.02W","LEYDEN"
"19751213","CP","UNDG","6.0","49.810N","078.157E",""
"19751220","US","SHFT","20-200","37.12N","116.06W","CHIBERTA"
"19751225","CP","UNDG","29","50.044N","078.814E",""
"19760103","US","SHFT","0-1000","37.30N","116.33W","MUENSTER"
"19760115","CP","UNDG","10","49.824N","078.201E",""
"19760123","PC","ATMO","LOW","","",""
"19760204","US","SHFT","20-200","37.07N","116.03W","KEELSON"
"19760204","US","SHFT","20-200","37.11N","116.04W","ESROM"
"19760212","US","SHFT","0-1000","37.27N","116.49W","FONTINA"
"19760214","US","SHFT","00-500","37.24N","116.42W","CHESHIRE"
"19760226","US","SHFT","l20","","","SHALLOWS"
"19760309","US","SHFT","00-500","37.31N","116.36W","ESTUARY"
"19760314","US","SHFT","0-1000","37.31N","116.47W","COLBY"
"19760317","US","SHFT","00-500","37.26N","116.31W","POOL"
"19760317","US","SHFT","00-500","37.11N","116.05W","STRAIT"
"19760403","FR","SHFT","","","","PATROCLE"
"19760421","CP","UNDG","7.3","49.776N","078.146E",""
"19760421","CP","UNDG","11","49.890N","078.827E",""
"19760512","US","TUNN","l20","37.2N","116.2W","MIGHTYEP"
"19760519","CP","UNDG","3.7","49.796N","078.058E",""
"19760520","US","SHFT","l20","","","RIVOLI"
"19760604","CP","UNDG","40","49.909N","078.911E",""
"19760609","CP","UNDG","7.6","49.989N","079.022E",""
"19760711","FR","SHFT","10","21.859S","138.768W",""
"19760723","FR","SHFT","","20S","140W",""
"19760723","CP","UNDG","6.3","49.779N","078.085E",""
"19760727","US","SHFT","20-150","37.1N","116.0W","BILLET"
"19760729","CP","UNDG","45","47.810N","048.100E",""
"19760804","CP","UNDG",".06","49.900N","077.700E",""
"19760826","GB","SHFT","20-150","37.13N","116.08W","BANON"
"19760828","CP","UNDG","30","49.969N","078.930E",""
"19760926","PC","ATMO","20-200","","",""
"19760929","CP","UNDG","70","73.410N","054.500E",""
"19761006","US","SHFT","l20","","","GOUDA"
"19761017","PC","","10-20","41.650N","088.667E",""
"19761020","CP","UNDG","13","73.400N","054.470E",""
"19761030","CP","UNDG","4.5","49.821N","078.029E",""
"19761030","FR","","0-5","","","ULYSSEA"
"19761105","CP","UNDG","11","61.52N","112.73E","OKA"
"19761110","US","SHFT","l20","","","SPRIT"
"19761117","PC","ATMO","4000","","",""
"19761123","CP","UNDG","34","50.008N","078.963E",""
"19761123","US","SHFT","l20","37.2N","116.1W","CHEVRE"
"19761205","FR","","0-5","","","ASTYANAX"
"19761207","CP","UNDG","41","49.922N","078.846E",""
"19761208","US","SHFT","l20","37.08N","116.00W","REDMUD"
"19761208","FR","SHFT","","20S","140W",""
"19761221","US","SHFT","l20","","","SUTTER"
"19761221","US","SHFT","l20","37.12N","116.07W","ASIAGO"
"19761228","US","SHFT","20-150","37.10N","116.04W","RUDDER"
"19761230","CP","UNDG","7.8","49.802N","078.069E",""
"19770216","OA","K","","","318 NTS0",""
"19770216","US","SS1","l20","","","OARLOCK"
"19770216","CO","","","","335 NTS0",""
"19770216","US","SS2","l20","","","COVE"
"19770219","FR","SHFT","5","21.834S","138.846W",""
"19770308","DO","","","","183 NTS1",""
"19770308","US","SS1","l20","","","DOFINO"
"19770308","DO","-LAWT","","","282 NTS1",""
"19770308","US","SS1","l20","","","DOFINO-L"
"19770319","FR","SHFT","45","21.891S","138.913W",""
"19770329","CP","UNDG","14","49.970N","078.086E",""
"19770402","FR","","0-5","","","OEDIPE"
"19770405","US","SHFT","20-150","37.12N","116.06W","MARSILLY"
"19770425","CP","UNDG","6.6","49.813N","078.150E",""
"19770427","US","SHFT","20-150","37.09N","116.03W","BULKHEAD"
"19770525","US","SHFT","20-150","37.09N","116.04W","CREWLINE"
"19770529","CP","UNDG","32","49.937N","078.770E",""
"19770602","US","SHFT","l20","","","FOREFOOT"
"19770629","CP","UNDG","9.6","50.006N","078.869E",""
"19770706","FR","SHFT","25","21.780S","138.954W",""
"19770726","CP","UNDG","10","69.540N","090.510E",""
"19770728","US","SHFT","l20","","","CARNELIA"
"19770730","CP","UNDG","7.1","49.759N","078.097E",""
"19770804","US","SHFT","20-150","37.09N","116.01W","STRAKE"
"19770810","CP","UNDG","10","50.950N","110.780E",""
"19770816","GR","E-GRA","","","207 NTS0",""
"19770816","US","SS1","l20","","","GRUYERE-"
"19770816","GR","E","","","320 NTS0",""
"19770816","US","SS1","l20","","","GRUYERE"
"19770816","US","SHFT","l20","","","FLOTOST"
"19770816","US","SH?","","37.2N","116.1W","**"
"19770817","CP","UNDG","5.6","49.825N","078.170E",""
"19770819","US","SHFT","l20","","","SCUPPER"
"19770819","US","SHFT","20-150","37.11N","116.05W","SCANTLIN"
"19770820","CP","UNDG","10","64.130N","099.620E",""
"19770901","CP","UNDG","55","73.370N","054.410E",""
"19770905","CP","UNDG","37","50.035N","078.921E",""
"19770910","CP","UNDG","6.6","57.290N","106.230E",""
"19770915","US","SHFT","l20","37.0N","116.0W","EBBTIDE"
"19770917","PC","ATMO","l20","","",""
"19770927","US","SHFT","20-150","37.1N","116.1W","COULOMMI"
"19770930","CP","UNDG","5.4","47.850N","048.130E",""
"19771009","CP","UNDG","4.1","73.470N","053.980E",""
"19771026","US","SHFT","l20","37.1N","116.0W","BOBSTAY"
"19771029","CP","UNDG","23","49.833N","078.131E",""
"19771029","CP","UNDG","20","50.069N","078.975E",""
"19771101","US","SHFT","l20","37.19N","116.21W","HYBLAGOL"
"19771109","US","SHFT","20-150","37.07N","116.05W","SANDREEF"
"19771112","FR","SHFT","15","22S","139W",""
"19771117","US","SHFT","l20","37.02N","116.02W","SEAMOUNT"
"19771124","FR","SHFT","55","21.896S","138.884W","NESTOR"
"19771130","CP","UNDG","47","49.958N","078.885E",""
"19771214","US","SHFT","l20","","","RIB"
"19771214","US","SHFT","20-150","37.13N","116.09W","FARALLON"
"19771217","FR","SHFT","10","22S","139W",""
"19771226","CP","UNDG","4.3","49.953N","078.115E",""
"19780120","CP","UNDG","2.6","49.858N","078.089E",""
"19780213","US","SHFT","l20","37.1N","116.0W","CAMPOS"
"19780223","US","SHFT","20-150","37.12N","116.06W","REBLOCHO"
"19780227","FR","SHFT","l1","22S","139W",""
"19780315","PC","ATMO","l20","","",""
"19780316","US","SHFT","l20","","","KARAB"
"19780319","CP","UNDG","9.4","49.959N","077.746E",""
"19780322","FR","SHFT","10","21.714S","138.926W",""
"19780323","US","SHFT","l20","","","TOPMAST"
"19780323","US","SHFT","20-150","37.10N","116.05W","ICEBERG"
"19780325","FR","","0-5","","","HECUBE"
"19780326","CP","UNDG","24","49.768N","078.044E",""
"19780411","GB","SHFT","20-150","37.30N","116.33W","FONDUTTA"
"19780411","US","SHFT","20-150","37.23N","116.37W","BACKBEAC"
"19780422","CP","UNDG","11","49.761N","078.186E",""
"19780425","US","SHFT","l20","","","ASCO"
"19780529","CP","UNDG","2.6","49.772N","078.141E",""
"19780601","US","SHFT","l20","","","JACKPOTS"
"19780611","CP","UNDG","41","49.898N","078.797E",""
"19780701","","","0-5","","","XANTHOS"
"19780705","CP","UNDG","38","49.887N","078.871E",""
"19780707","US","SHFT","l20","","","SATZ"
"19780712","US","SHFT","20-150","37.08N","116.04W","LOWBALL"
"19780719","FR","SHFT","2","22S","139W",""
"19780726","FR","SHFT","4","22S","139W",""
"19780728","CP","UNDG","27","49.756N","078.140E",""
"19780809","KR","-4","","","567",""
"19780809","CP","UNDG","22","63.65N","125.34E","KRATON-4"
