"Date","TP_Testing_Party","Type","Yield_in_Kilotons","Latitude_in_degrees","Longitude_in_degrees","Name_of_explosion"
"19580930","CP","ATMO","50+","73.000N","055.000E",""
"19580930","CP","ATMO","50+","73.000N","055.000E",""
"19581002","CP","ATMO","g20","73.000N","055.000E",""
"19581002","CP","ATMO","","73.000N","055.000E",""
"19581005","US","RC","5.5","","","COLFAX"
"19581005","US","BALN","77","","","HIDALGO"
"19581005","CP","ATMO","","73.000N","055.000E",""
"19581008","US","TUNN","72","","","TAMALPA"
"19581010","US","TOWR","79","","","QUAY"
"19581010","CP","ATMO","HIGH","73.000N","055.000E",""
"19581012","CP","ATMO","g1000","73.000N","055.000E",""
"19581013","US","BALN","1.4","","","LEA"
"19581014","US","TUNN","0.115","","","NEPTUNE"
"19581015","US","TOWR","1.2","","","HAMILTON"
"19581015","CP","ATM0","g1000","73.000N","055.000E",""
"19581016","US","TUNN","5","","","LOGAN"
"19581016","US","BALN","37","","","DONA ANA"
"19581017","US","SURF","24","","","VESTA"
"19581018","US","TOWR","90","","","RIOARRIB"
"19581018","CP","ATMO","g1000","73.000N","055.000E",""
"19581019","CP","ATMO","LOW","73.000N","055.000E",""
"19581020","CP","ATMO","g1000","73.000N","055.000E",""
"19581022","US","BALN","6","","","SOCORRO"
"19581022","US","BALN","115","","","WRANGELL"
"19581022","US","BALN","188","","","RUSHMORE"
"19581022","CP","ATMO","g1000","73.000N","055.000E",""
"19581024","US","TOWR","21","","","CATRON"
"19581024","US","SURF","1.7","","","JUNO"
"19581024","CP","ATMO","HIGH","73.000N","055.000E",""
"19581025","CP","ATMO","HIGH","73.000N","055.000E",""
"19581026","US","TOWR","0.7","","","CERES"
"19581026","US","BALN","4.9","","","SANFORD"
"19581026","US","BALN","2.2","","","DE BACA"
"19581027","US","TOWR","0.6","","","CHAVEZ"
"19581029","US","TUNN","55","","","EVANS"
"19581029","US","TOWR","7.8","","","HUMBOLDT"
"19581030","US","BALN","1.3","","","SANTA FE"
"19581030","US","TUNN","22","","","BLANCA"
"19581030","US","TOWR","0.2","","","TITANIA"
"19581101","CP","ATMO","LOW","","",""
"19581103","CP","ATMO","LOW","","",""
"19600213","FR","TOWR","60-70","26.317N","000.067W","g BLEUE"
"19600401","FR","SURF","l20","26.100N","000.150W","g BLANCH"
"19601227","FR","TOWR","1.6","","","g ROUGE"
"19610425","FR","TOWR","FIZ0.7","","","g VERTE"
"19610901","CP","ATMO","150","50.000N","078.000E",""
"19610904","CP","ATMO","10-80","50.000N","078.000E",""
"19610905","CP","ATMO","LOW","50.000N","078.000E",""
"19610906","CP","ATMO","25","48.450N","044.300E",""
"19610910","CP","ATMO","g1000","73.000N","055.000E",""
"19610910","CP","ATMO","LOW","73.000N","055.000E",""
"19610912","CP","ATMO","g1000","73.000N","055.000E",""
"19610913","CP","ATMO","LOW","73.000N","055.000E",""
"19610913","CP","ATMO","LOW","50.000N","078.000E",""
"19610914","CP","ATMO","g1000","74.600N","051.100E",""
"19610915","US","TUNN","2.6","","","ANTLER"
"19610916","US","SHFT","LOW","","","SHREW"
"19610916","CP","ATMO","g1000","73.000N","055.000E",""
"19610917","CP","ATMO","20-150","50.000N","078.000E",""
"19610918","CP","ATMO","g1000","74.000N","052.000E",""
"19610920","CP","ATMO","g1000","73.000N","055.000E",""
"19610922","CP","ATMO","g1000","73.000N","055.000E",""
"19611002","CP","ATMO","g1000","73.000N","055.000E",""
"19611004","CP","ATMO","g1000","73.700N","053.800E",""
"19611006","CP","ATMO","g1000","73.000N","055.000E",""
"19611006","CP","ATMO","~200","","",""
"19611008","CP","ATMO","LOW","73.000N","055.000E",""
"19611001","US","SHFT","LOW","","","BOOMER"
"19611010","US","TUNN","LOW","","","CHENA"
"19611011","CP","UNDG","l20","49.772N","077.995E",""
"19611012","CP","ATMO","LOW","50.000N","078.000E",""
"19611020","CP","ATMO","g1000","73.000N","055.000E",""
"19611021","CP","ATMO","l5","","",""
"19611023","CP","ATMO","25000","73.900N","053.800E",""
"19611023","CP","UNDW","LOW","70.700N","053.500E",""
"19611025","CP","ATMO","l1000","73.000N","055.000E",""
"19611027","CP","ATMO","20-150","70.700N","053.500E",""
"19611027","CP","ATMO","l5","","",""
"19611029","US","SHFT","LOW","","","MINK"
"19611030","CP","ATMO","58000","73.000N","055.000E",""
"19611031","CP","ATMO","g1000","73.000N","055.000E",""
"19611031","CP","ATMO","l1000","73.000N","055.000E",""
"19611102","CP","","20-150","73.000N","055.000E",""
"19611104","CP","ATMO","g1000","73.000N","055.000E",""
"19611107","FR","TUNN","8","24.057N","005.052E","AGATE"
"19611203","US","SHFT","13.4","","","FISHER"
"19611210","US","SHFT","3","","","GNOME"
